X,Y,Z,ID,x,y,osm_id,code,fclass,name
93144.4525353821,437184.42123589,0,197,4.4880579,51.9197012,1875589870,2723,monument,Ode aan Maarten Toonder
90492.1962116123,437391.281750516,0,198,4.4494702,51.9212591,2419385921,2251,sports_centre,Circus Ravioli
91271.2870934372,435215.602782985,0,199,4.4611971,51.9017954,1883632502,2084,college,Scheepvaart- en Transportcollege
95870.7842241894,436939.218089783,0,200,4.5277262,51.9177939,773010696,2081,university,Erasmus Universiteit Building N
95889.0971930278,436895.919191568,0,201,4.5279998,51.9174067,773010697,2081,university,Erasmus Universiteit Building S
95912.4020363385,437025.235810701,0,202,4.5283163,51.9185714,773010698,2081,university,Erasmus Universiteit Building F / G
95897.4535707716,436978.291124947,0,203,4.5281071,51.9181479,773010699,2081,university,Erasmus Universiteit Building Q
95658.7399124614,437017.19102094,0,204,4.5246309,51.9184721,773010701,2081,university,Erasmus Universiteit Building A
95737.773493512,437051.970251845,0,205,4.5257736,51.9187931,773010702,2081,university,Erasmus Universiteit Building C
95765.9810832492,436971.112425964,0,206,4.5261975,51.9180694,773010703,2081,university,Erasmus Universiteit Building H
95839.5314117359,437011.744080334,0,207,4.5272595,51.9184424,773010704,2081,university,Erasmus Universiteit Building B
95821.8065551344,436910.489901738,0,208,4.5270193,51.9175305,773010705,2081,university,Erasmus Universiteit Building E
95858.8219221043,436676.492528146,0,209,4.5275975,51.9154314,773010706,2082,school,Hogeschool Rotterdam
