ID,X,Y,osm_id,code,fclass,name
169,94907.37099,437737.6606,1746723019,2501,supermarket,Van Yperen
170,93073.70116,437240.8863,3046367259,2721,attraction,Markthal
171,89824.36234,436462.9497,3699757544,2724,memorial,Het Vergeten Bombardement
172,94229.75847,438363.9188,1756212701,2120,doctors,Huisartspraktijk F. Poelstra
173,92119.46507,435549.5097,1759830147,2724,memorial,Wilhelmina
174,92738.78155,436951.7109,540223438,2722,museum,Maritiem Museum
175,92481.06346,436170.6011,2374715129,2121,dentist,Orthodontix
176,91929.55494,438307.9391,4323282590,2201,theatre,'t Kapelletje
177,87909.7522,436433.3356,4326190991,2012,community_centre,Diva Party Center
178,92755.50372,436736.8898,1322457400,2722,museum,Havenmuseum
179,93086.68303,437240.8145,3116686578,2501,supermarket,Albert Heijn
180,92187.00969,437219.9687,579989669,2201,theatre,Rotterdamse Schouwburg
181,91857.14961,436836.6553,581986847,2014,arts_centre,Centrum Beeldende Kunst
182,91684.31476,436535.7358,581988676,2084,college,Albeda College
183,91945.10639,436832.8861,581993372,2501,supermarket,Coop
184,93813.08806,437493.6062,582502300,2723,monument,Mariniersmonument
185,94847.05108,437885.5922,582554391,2082,school,Melanchthon Kralingen
186,95304.32222,436306.6217,582555512,2201,theatre,Hal 4
187,93277.88819,439612.6451,582661201,2724,memorial,Verzetskruis
188,92390.35124,437556.0506,603261103,2201,theatre,Oude Luxor theater
189,91542.28364,437842.3988,583353873,2082,school,Lucia-Petra Mavo
190,91398.58216,438002.5374,628220062,2501,supermarket,Dirk van den Broek
191,91570.19823,437548.9199,681897141,2721,attraction,Miniworld Rotterdam
192,91888.43105,438912.3325,685192412,2081,university,Islamitische Universiteit Rotterdam
193,91288.13169,437278.1525,1854301421,2251,sports_centre,Oostervant
194,91310.14147,437292.2146,1854301422,2253,swimming_pool,Oostervant
195,91576.42711,435603.0091,2399274962,2721,attraction,Lasergame Rotterdam
196,91588.11271,435629.0089,2399275448,2721,attraction,Splashtours
197,93144.45254,437184.4212,1875589870,2723,monument,Ode aan Maarten Toonder
198,90492.19621,437391.2818,2419385921,2251,sports_centre,Circus Ravioli
199,91271.28709,435215.6028,1883632502,2084,college,Scheepvaart- en Transportcollege
200,95870.78422,436939.2181,773010696,2081,university,Erasmus Universiteit Building N
201,95889.09719,436895.9192,773010697,2081,university,Erasmus Universiteit Building S
202,95912.40204,437025.2358,773010698,2081,university,Erasmus Universiteit Building F / G
203,95897.45357,436978.2911,773010699,2081,university,Erasmus Universiteit Building Q
204,95658.73991,437017.191,773010701,2081,university,Erasmus Universiteit Building A
205,95737.77349,437051.9703,773010702,2081,university,Erasmus Universiteit Building C
206,95765.98108,436971.1124,773010703,2081,university,Erasmus Universiteit Building H
207,95839.53141,437011.7441,773010704,2081,university,Erasmus Universiteit Building B
208,95821.80656,436910.4899,773010705,2081,university,Erasmus Universiteit Building E
209,95858.82192,436676.4925,773010706,2082,school,Hogeschool Rotterdam
