Longitude,Latitude,Lat,long,Adres,City,Type Lader,
445008,519146,51.9146,4.45008,Mathenesserlaan 407 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250124 mennekes,"51.9146,4.45008"
445008,519146,51.9146,4.45008,Mathenesserlaan 407 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250124 mennekes,"51.9146,4.45008"
445026,5191947,51.91947,4.45026,Virulyplein 5 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309005 mennekes,"51.91947,4.45026"
445026,5191947,51.91947,4.45026,Virulyplein 5 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309005 mennekes,"51.91947,4.45026"
445191,519076,51.9076,4.45191,Willem Buytewechstraat 212 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1305095 mennekes,"51.9076,4.45191"
445191,519076,51.9076,4.45191,Willem Buytewechstraat 212 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1305095 mennekes,"51.9076,4.45191"
445241,5187903,51.87903,4.45241,Waalhaven Zuidzijde 2 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1305040 mennekes,"51.87903,4.45241"
445241,5187903,51.87903,4.45241,Waalhaven Zuidzijde 2 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1305040 mennekes,"51.87903,4.45241"
4452647353,51911525286,51.91152529,4.452647353,Korenaarstraat 71 Rotterdam,Rotterdam,Krachtstroom E-laad AL815 mennekes,"51.911525286,4.452647353"
44532,5191353,51.91353,4.4532,Heemraadssingel 259 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309091 mennekes,"51.91353,4.4532"
44532,5191353,51.91353,4.4532,Heemraadssingel 259 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309091 mennekes,"51.91353,4.4532"
445333,5191551,51.91551,4.45333,Heemraadssingel 221 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250002 mennekes,"51.91551,4.45333"
445333,5191551,51.91551,4.45333,Heemraadssingel 221 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250002 mennekes,"51.91551,4.45333"
445518,518975,51.8975,4.45518,Willingestraat 4 Rotterdam,Rotterdam,Stopcontact EV-Box EVB-P1243087 mennekes,"51.8975,4.45518"
445518,518975,51.8975,4.45518,Willingestraat 4 Rotterdam,Rotterdam,Stopcontact EV-Box EVB-P1243087 mennekes,"51.8975,4.45518"
4455522681,51912168919,51.91216892,4.455522681,Heemraadssingel 267 Rotterdam,Rotterdam,Krachtstroom E-laad AL707 mennekes,"51.912168919,4.455522681"
445571,5191603,51.91603,4.45571,Heemraadssingel 170 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1306026 mennekes,"51.91603,4.45571"
445571,5191603,51.91603,4.45571,Heemraadssingel 170 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1306026 mennekes,"51.91603,4.45571"
445617,5189723,51.89723,4.45617,Willingestraat 4 Rotterdam,Rotterdam,Stopcontact EV-Box EVB-P1243089 mennekes,"51.89723,4.45617"
445617,5189723,51.89723,4.45617,Willingestraat 4 Rotterdam,Rotterdam,Stopcontact EV-Box EVB-P1243089 mennekes,"51.89723,4.45617"
445748,5188652,51.88652,4.45748,Waalstraat 32 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1335187 mennekes,"51.88652,4.45748"
4.45832E+14,5.19141E+14,51.91406866,4.458315102,Mathenesserlaan 306 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1239043 mennekes,"51.9140686626788,4.45831510185235"
4.45832E+14,5.19141E+14,51.91406866,4.458315102,Mathenesserlaan 306 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1239043 mennekes,"51.9140686626788,4.45831510185235"
4.45867E+14,5.1903E+14,51.90299988,4.458670139,Schiehavenkade Rotterdam,Rotterdam,Stopcontact NewMotion 01000337 mennekes,"51.9029998779297,4.45867013931274"
